
step 00230 | loss: 372.588150 | remaining: 298s 
step 00231 | loss: 372.268099 | remaining: 298s 
step 00232 | loss: 371.948478 | remaining: 298s 
step 00233 | loss: 371.629294 | remaining: 298s 
step 00234 | loss: 371.310769 | remaining: 298s 
step 00235 | loss: 370.992897 | remaining: 298s 
step 00236 | loss: 370.675758 | remaining: 298s 
step 00237 | loss: 370.359333 | remaining: 298s 
step 00238 | loss: 370.043667 | remaining: 298s 
step 00239 | loss: 369.728717 | remaining: 298s 
step 00240 | loss: 369.414441 | remaining: 298s 
step 00241 | loss: 369.100802 | remaining: 298s 
step 00242 | loss: 368.787768 | remaining: 298s 
step 00243 | loss: 368.475311 | remaining: 298s 
step 00244 | loss: 368.163487 | remaining: 298s 
step 00245 | loss: 367.852122 | remaining: 298s 
step 00246 | loss: 367.541318 | remaining: 298s 
step 00247 | loss: 367.231110 | remaining: 298s 
step 00248 | loss: 366.921284 | remaining: 298s 
step 00249 | loss: 366.611988 | remaining: 298s 
step 00250 | loss: 366.303141 | remaining: 298s 
step 00251 | loss: 365.994921 | remaining: 298s 
step 00252 | loss: 365.687001 | remaining: 298s 
step 00253 | loss: 365.379530 | remaining: 298s 
step 00254 | loss: 365.072557 | remaining: 298s 
step 00255 | loss: 364.766333 | remaining: 298s 
step 00256 | loss: 364.460560 | remaining: 298s 
step 00257 | loss: 364.155423 | remaining: 298s 
step 00258 | loss: 363.850862 | remaining: 298s 
step 00259 | loss: 363.546740 | remaining: 298s 
step 00260 | loss: 363.243249 | remaining: 298s 
step 00261 | loss: 362.940188 | remaining: 298s 
step 00262 | loss: 362.637548 | remaining: 298s 
step 00263 | loss: 362.335753 | remaining: 298s 
step 00264 | loss: 362.034606 | remaining: 298s 
step 00265 | loss: 361.734306 | remaining: 298s 
step 00266 | loss: 361.434835 | remaining: 298s 
step 00267 | loss: 361.136131 | remaining: 298s 
step 00268 | loss: 360.838317 | remaining: 298s 
step 00269 | loss: 360.541353 | remaining: 297s 
step 00270 | loss: 360.245191 | remaining: 297s 
step 00271 | loss: 359.949820 | remaining: 297s 
step 00272 | loss: 359.655309 | remaining: 297s 
step 00273 | loss: 359.361319 | remaining: 297s 
step 00274 | loss: 359.067996 | remaining: 297s 
step 00275 | loss: 358.775365 | remaining: 297s 
step 00276 | loss: 358.483287 | remaining: 297s 
step 00277 | loss: 358.191798 | remaining: 297s 
step 00278 | loss: 357.900887 | remaining: 297s 
step 00279 | loss: 357.610527 | remaining: 297s 
step 00280 | loss: 357.320703 | remaining: 297s 
step 00281 | loss: 357.031390 | remaining: 297s 
step 00282 | loss: 356.742504 | remaining: 297s 
step 00283 | loss: 356.454082 | remaining: 297s 
step 00284 | loss: 356.166082 | remaining: 297s 
step 00285 | loss: 355.878511 | remaining: 297s 
step 00286 | loss: 355.591360 | remaining: 297s 
step 00287 | loss: 355.304673 | remaining: 297s 
step 00288 | loss: 355.018422 | remaining: 297s 
step 00289 | loss: 354.732417 | remaining: 297s 
step 00290 | loss: 354.446989 | remaining: 297s 
step 00291 | loss: 354.161961 | remaining: 297s 
step 00292 | loss: 353.877370 | remaining: 297s 
step 00293 | loss: 353.593243 | remaining: 297s 
step 00294 | loss: 353.309587 | remaining: 297s 
step 00295 | loss: 353.026477 | remaining: 297s 
step 00296 | loss: 352.744200 | remaining: 297s 
step 00297 | loss: 352.462715 | remaining: 297s 
step 00298 | loss: 352.182242 | remaining: 297s 
step 00299 | loss: 351.902760 | remaining: 297s 
step 00300 | loss: 351.624182 | remaining: 297s 
step 00301 | loss: 351.346186 | remaining: 297s 
step 00302 | loss: 351.069139 | remaining: 297s 
step 00303 | loss: 350.792866 | remaining: 297s 
step 00304 | loss: 350.517362 | remaining: 297s 
step 00305 | loss: 350.242643 | remaining: 297s 
step 00306 | loss: 349.968689 | remaining: 297s 
step 00307 | loss: 349.695463 | remaining: 297s 
step 00308 | loss: 349.423113 | remaining: 297s 
step 00309 | loss: 349.151614 | remaining: 297s 
step 00310 | loss: 348.880883 | remaining: 297s 
step 00311 | loss: 348.611002 | remaining: 297s 
step 00312 | loss: 348.341518 | remaining: 297s 
step 00313 | loss: 348.072749 | remaining: 297s 
step 00314 | loss: 347.804650 | remaining: 297s 
step 00315 | loss: 347.537031 | remaining: 297s 
step 00316 | loss: 347.269919 | remaining: 297s 
step 00317 | loss: 347.003415 | remaining: 297s 
step 00318 | loss: 346.737520 | remaining: 297s 
step 00319 | loss: 346.472275 | remaining: 297s 
step 00320 | loss: 346.207549 | remaining: 297s 
step 00321 | loss: 345.943596 | remaining: 297s 
step 00322 | loss: 345.680228 | remaining: 297s 
step 00323 | loss: 345.417309 | remaining: 297s 
step 00324 | loss: 345.154936 | remaining: 297s 
step 00325 | loss: 344.893114 | remaining: 297s 
step 00326 | loss: 344.631856 | remaining: 297s 
step 00327 | loss: 344.370983 | remaining: 297s 
step 00328 | loss: 344.110746 | remaining: 297s 
step 00329 | loss: 343.850731 | remaining: 297s 
step 00330 | loss: 343.591187 | remaining: 297s 
step 00331 | loss: 343.332120 | remaining: 297s 
step 00332 | loss: 343.073609 | remaining: 297s 
step 00333 | loss: 342.815362 | remaining: 297s 
step 00334 | loss: 342.557645 | remaining: 297s 
step 00335 | loss: 342.300696 | remaining: 297s 
step 00336 | loss: 342.044263 | remaining: 297s 
step 00337 | loss: 341.788446 | remaining: 297s 
step 00338 | loss: 341.533060 | remaining: 297s 
step 00339 | loss: 341.278257 | remaining: 297s 
step 00340 | loss: 341.023811 | remaining: 297s 
step 00341 | loss: 340.769927 | remaining: 297s 
step 00342 | loss: 340.516363 | remaining: 297s 
step 00343 | loss: 340.263228 | remaining: 297s 
step 00344 | loss: 340.010557 | remaining: 297s 
step 00345 | loss: 339.758179 | remaining: 297s 
step 00346 | loss: 339.506387 | remaining: 297s 
step 00347 | loss: 339.254726 | remaining: 297s 
step 00348 | loss: 339.003380 | remaining: 297s 
step 00349 | loss: 338.752382 | remaining: 297s 
step 00350 | loss: 338.501962 | remaining: 297s 
step 00351 | loss: 338.252297 | remaining: 297s 
step 00352 | loss: 338.003011 | remaining: 297s 
step 00353 | loss: 337.754396 | remaining: 297s 
step 00354 | loss: 337.506126 | remaining: 297s 
step 00355 | loss: 337.258297 | remaining: 297s 
step 00356 | loss: 337.011119 | remaining: 297s 
step 00357 | loss: 336.764215 | remaining: 297s 
step 00358 | loss: 336.517961 | remaining: 297s 
step 00359 | loss: 336.271958 | remaining: 297s 
step 00360 | loss: 336.026537 | remaining: 297s 
step 00361 | loss: 335.781545 | remaining: 297s 
step 00362 | loss: 335.537293 | remaining: 297s 
step 00363 | loss: 335.293699 | remaining: 297s 
step 00364 | loss: 335.050880 | remaining: 297s 
step 00365 | loss: 334.808891 | remaining: 297s 
step 00366 | loss: 334.567171 | remaining: 297s 
step 00367 | loss: 334.326108 | remaining: 297s 
step 00368 | loss: 334.086070 | remaining: 297s 
step 00369 | loss: 333.846920 | remaining: 297s 
step 00370 | loss: 333.608610 | remaining: 297s 
step 00371 | loss: 333.371446 | remaining: 297s 
step 00372 | loss: 333.135193 | remaining: 297s 
step 00373 | loss: 332.899905 | remaining: 297s 
step 00374 | loss: 332.665406 | remaining: 297s 
step 00375 | loss: 332.431721 | remaining: 297s 
step 00376 | loss: 332.198752 | remaining: 297s 
step 00377 | loss: 331.966519 | remaining: 297s 
step 00378 | loss: 331.734878 | remaining: 297s 
step 00379 | loss: 331.503906 | remaining: 297s 
step 00380 | loss: 331.273692 | remaining: 297s 
step 00381 | loss: 331.044215 | remaining: 297s 
step 00382 | loss: 330.815493 | remaining: 297s 
step 00383 | loss: 330.587586 | remaining: 297s 
step 00384 | loss: 330.360441 | remaining: 297s 
step 00385 | loss: 330.134085 | remaining: 297s 
step 00386 | loss: 329.908439 | remaining: 297s 
step 00387 | loss: 329.683384 | remaining: 297s 
step 00388 | loss: 329.458943 | remaining: 297s 
step 00389 | loss: 329.235058 | remaining: 297s 
step 00390 | loss: 329.011724 | remaining: 297s 
step 00391 | loss: 328.788877 | remaining: 297s 
step 00392 | loss: 328.566637 | remaining: 297s 
step 00393 | loss: 328.344992 | remaining: 296s 
step 00394 | loss: 328.124087 | remaining: 296s 
step 00395 | loss: 327.903845 | remaining: 296s 
step 00396 | loss: 327.684206 | remaining: 296s 
step 00397 | loss: 327.465185 | remaining: 296s 
step 00398 | loss: 327.246656 | remaining: 296s 
step 00399 | loss: 327.028717 | remaining: 296s 
step 00400 | loss: 326.811255 | remaining: 296s 
step 00401 | loss: 326.594192 | remaining: 296s 
step 00402 | loss: 326.377575 | remaining: 296s 
step 00403 | loss: 326.161430 | remaining: 296s 
step 00404 | loss: 325.945798 | remaining: 296s 
step 00405 | loss: 325.730701 | remaining: 296s 
step 00406 | loss: 325.516047 | remaining: 296s 
step 00407 | loss: 325.301879 | remaining: 296s 
step 00408 | loss: 325.088097 | remaining: 296s 
step 00409 | loss: 324.874761 | remaining: 296s 
step 00410 | loss: 324.661860 | remaining: 296s 
step 00411 | loss: 324.449575 | remaining: 296s 
step 00412 | loss: 324.237653 | remaining: 296s 
step 00413 | loss: 324.026302 | remaining: 296s 
step 00414 | loss: 323.815365 | remaining: 296s 
step 00415 | loss: 323.604762 | remaining: 296s 
step 00416 | loss: 323.394676 | remaining: 296s 
step 00417 | loss: 323.185127 | remaining: 296s 
step 00418 | loss: 322.975930 | remaining: 296s 
step 00419 | loss: 322.767243 | remaining: 296s 
step 00420 | loss: 322.559107 | remaining: 296s 
step 00421 | loss: 322.351436 | remaining: 296s 
step 00422 | loss: 322.144182 | remaining: 296s 
step 00423 | loss: 321.937437 | remaining: 296s 
step 00424 | loss: 321.731277 | remaining: 296s 
step 00425 | loss: 321.525622 | remaining: 296s 
step 00426 | loss: 321.320442 | remaining: 296s 
step 00427 | loss: 321.115731 | remaining: 296s 
step 00428 | loss: 320.911461 | remaining: 296s 
step 00429 | loss: 320.707742 | remaining: 296s 
step 00430 | loss: 320.504611 | remaining: 296s 
step 00431 | loss: 320.301901 | remaining: 296s 
step 00432 | loss: 320.099465 | remaining: 296s 
step 00433 | loss: 319.897647 | remaining: 296s 
step 00434 | loss: 319.696413 | remaining: 296s 
step 00435 | loss: 319.495598 | remaining: 296s 
step 00436 | loss: 319.295397 | remaining: 296s 
step 00437 | loss: 319.095970 | remaining: 296s 
step 00438 | loss: 318.897011 | remaining: 296s 
step 00439 | loss: 318.698666 | remaining: 296s 
step 00440 | loss: 318.500992 | remaining: 296s 
step 00441 | loss: 318.304110 | remaining: 296s 
step 00442 | loss: 318.107669 | remaining: 296s 
step 00443 | loss: 317.911891 | remaining: 296s 
step 00444 | loss: 317.716562 | remaining: 296s 
step 00445 | loss: 317.521761 | remaining: 296s 
step 00446 | loss: 317.327364 | remaining: 296s 
step 00447 | loss: 317.133467 | remaining: 296s 
step 00448 | loss: 316.940032 | remaining: 296s 
step 00449 | loss: 316.747226 | remaining: 296s 
step 00450 | loss: 316.555120 | remaining: 296s 
step 00451 | loss: 316.363600 | remaining: 296s 
step 00452 | loss: 316.172558 | remaining: 296s 
step 00453 | loss: 315.982026 | remaining: 296s 
step 00454 | loss: 315.792042 | remaining: 296s 
step 00455 | loss: 315.602440 | remaining: 296s 
step 00456 | loss: 315.413326 | remaining: 296s 
step 00457 | loss: 315.224548 | remaining: 296s 
step 00458 | loss: 315.036208 | remaining: 296s 
step 00459 | loss: 314.848169 | remaining: 296s 
step 00460 | loss: 314.660526 | remaining: 296s 
step 00461 | loss: 314.473161 | remaining: 296s 
step 00462 | loss: 314.286269 | remaining: 296s 
step 00463 | loss: 314.099795 | remaining: 296s 
step 00464 | loss: 313.913787 | remaining: 296s 
step 00465 | loss: 313.728293 | remaining: 296s 
step 00466 | loss: 313.543190 | remaining: 296s 
step 00467 | loss: 313.358739 | remaining: 296s 
step 00468 | loss: 313.175012 | remaining: 296s 
step 00469 | loss: 312.991794 | remaining: 296s 
step 00470 | loss: 312.809154 | remaining: 296s 
step 00471 | loss: 312.627069 | remaining: 296s 
step 00472 | loss: 312.445554 | remaining: 296s 
step 00473 | loss: 312.264709 | remaining: 296s 
step 00474 | loss: 312.084471 | remaining: 296s 
step 00475 | loss: 311.904809 | remaining: 296s 
step 00476 | loss: 311.725715 | remaining: 296s 
step 00477 | loss: 311.547152 | remaining: 296s 
step 00478 | loss: 311.369083 | remaining: 296s 
step 00479 | loss: 311.191489 | remaining: 296s 
step 00480 | loss: 311.014357 | remaining: 296s 
step 00481 | loss: 310.837657 | remaining: 296s 
step 00482 | loss: 310.661368 | remaining: 296s 
step 00483 | loss: 310.485499 | remaining: 296s 
step 00484 | loss: 310.310217 | remaining: 296s 
step 00485 | loss: 310.135479 | remaining: 296s 
step 00486 | loss: 309.961347 | remaining: 296s 
step 00487 | loss: 309.787853 | remaining: 296s 
step 00488 | loss: 309.614952 | remaining: 296s 
step 00489 | loss: 309.442599 | remaining: 296s 
step 00490 | loss: 309.270758 | remaining: 296s 
step 00491 | loss: 309.099394 | remaining: 296s 
step 00492 | loss: 308.928475 | remaining: 296s 
step 00493 | loss: 308.757986 | remaining: 296s 
step 00494 | loss: 308.587984 | remaining: 296s 
step 00495 | loss: 308.418461 | remaining: 296s 
step 00496 | loss: 308.249360 | remaining: 296s 
step 00497 | loss: 308.080665 | remaining: 296s 
step 00498 | loss: 307.912378 | remaining: 296s 
step 00499 | loss: 307.744497 | remaining: 296s 
step 00500 | loss: 307.577112 | remaining: 296s 
step 00501 | loss: 307.410394 | remaining: 296s 
step 00502 | loss: 307.244179 | remaining: 296s 
step 00503 | loss: 307.078553 | remaining: 296s 
step 00504 | loss: 306.913568 | remaining: 296s 
step 00505 | loss: 306.749412 | remaining: 296s 
step 00506 | loss: 306.586226 | remaining: 296s 
step 00507 | loss: 306.423723 | remaining: 296s 
step 00508 | loss: 306.261931 | remaining: 296s 
step 00509 | loss: 306.100868 | remaining: 296s 
step 00510 | loss: 305.940311 | remaining: 296s 
step 00511 | loss: 305.780348 | remaining: 296s 
step 00512 | loss: 305.620971 | remaining: 296s 
step 00513 | loss: 305.462063 | remaining: 296s 
step 00514 | loss: 305.303872 | remaining: 296s 
step 00515 | loss: 305.146143 | remaining: 296s 
step 00516 | loss: 304.989016 | remaining: 296s 
step 00517 | loss: 304.832497 | remaining: 296s 
step 00518 | loss: 304.676613 | remaining: 295s 
step 00519 | loss: 304.521066 | remaining: 295s 
step 00520 | loss: 304.366045 | remaining: 295s 
step 00521 | loss: 304.211523 | remaining: 295s 
step 00522 | loss: 304.057751 | remaining: 295s 
step 00523 | loss: 303.904391 | remaining: 295s 
step 00524 | loss: 303.751630 | remaining: 295s 
step 00525 | loss: 303.599731 | remaining: 295s 
step 00526 | loss: 303.448374 | remaining: 295s 
step 00527 | loss: 303.297702 | remaining: 295s 
step 00528 | loss: 303.147596 | remaining: 295s 
step 00529 | loss: 302.998216 | remaining: 295s 
step 00530 | loss: 302.849291 | remaining: 295s 
step 00531 | loss: 302.700980 | remaining: 295s 
step 00532 | loss: 302.553312 | remaining: 295s 
step 00533 | loss: 302.406348 | remaining: 295s 
step 00534 | loss: 302.259881 | remaining: 295s 
step 00535 | loss: 302.114004 | remaining: 295s 
step 00536 | loss: 301.968663 | remaining: 295s 
step 00537 | loss: 301.823915 | remaining: 295s 
step 00538 | loss: 301.679721 | remaining: 295s 
step 00539 | loss: 301.536035 | remaining: 295s 
step 00540 | loss: 301.392834 | remaining: 295s 
step 00541 | loss: 301.250304 | remaining: 295s 
step 00542 | loss: 301.108324 | remaining: 295s 
step 00543 | loss: 300.966787 | remaining: 295s 
step 00544 | loss: 300.825778 | remaining: 295s 
step 00545 | loss: 300.685320 | remaining: 295s 
step 00546 | loss: 300.545390 | remaining: 295s 
step 00547 | loss: 300.405677 | remaining: 295s 
step 00548 | loss: 300.266566 | remaining: 295s 
step 00549 | loss: 300.127891 | remaining: 295s 
step 00550 | loss: 299.989685 | remaining: 295s 
step 00551 | loss: 299.851834 | remaining: 295s 
step 00552 | loss: 299.714541 | remaining: 295s 
step 00553 | loss: 299.577425 | remaining: 295s 
step 00554 | loss: 299.440723 | remaining: 295s 
step 00555 | loss: 299.304576 | remaining: 295s 
step 00556 | loss: 299.168652 | remaining: 295s 
step 00557 | loss: 299.033182 | remaining: 295s 
step 00558 | loss: 298.898124 | remaining: 295s 
